topic_number,jumlah_review,source_app,persentase
1,486,Mobile JKN,31.994733377221856
2,331,Mobile JKN,21.790651744568795
3,320,Mobile JKN,21.066491112574063
4,382,Mobile JKN,25.14812376563529
1,491,SATUSEHAT,28.865373309817755
2,260,SATUSEHAT,15.285126396237509
3,533,SATUSEHAT,31.33450911228689
4,417,SATUSEHAT,24.514991181657848
